place_name,place_category_id,whether_calculated,is_people,is_securities_trading,is_financial_applications_used
,9,0,0,0,0
(유)한국맥,9,1,0,0,0
(주)24시전,9,1,0,0,0
(주)JBSDLA  ,9,1,0,0,0
(주)교보문,9,1,0,0,0
(주)뉴코아,9,1,0,0,0
(주)랜드에,9,1,0,0,0
(주)로히,9,1,0,0,0
(주)롯데리,9,1,0,0,0
(주)리드코,9,1,0,0,0
(주)비지에,9,1,0,0,0
(주)서울랜,9,1,0,0,0
(주)서울오,9,1,0,0,0
(주)소담푸,9,1,0,0,0
(주)슈거마,9,1,0,0,0
(주)신농민,9,1,0,0,0
(주)신세계,9,1,0,0,0
(주)아트박,9,1,0,0,0
(주)안양밴,9,1,0,0,0
(주)에스엠,9,1,0,0,0
(주)에스엠디롯데리,9,1,0,0,0
(주)영풍문,9,1,0,0,0
(주)이마트,9,1,0,0,0
(주)이비카,9,1,0,0,0
(주)지마켓,9,1,0,0,0
(주)지에스,9,1,0,0,0
(주)카카오,9,1,0,0,0
(주)커피빈,9,1,0,0,0
(주)컴퓨존,9,1,0,0,0
(주)케이에,9,1,0,0,0
(주)코리아,9,1,0,0,0
(주)프로유,9,1,0,0,0
(주비케이알,9,1,0,0,0
(학)일송학,9,1,0,0,0
11054449494,9,0,0,0,0
20369201004,9,0,0,0,0
20369201035,9,0,0,0,0
20369205019,9,0,0,0,0
20369206040,9,0,0,0,0
088CD3009321,9,0,0,0,0
088CD3015610,9,0,0,0,0
088CD3030475,9,0,0,0,0
96011164682,9,0,0,0,0
24시누름돌생,9,0,0,1,0
32신교대대,9,1,0,0,0
365스마일약 ,9,1,0,0,0
3.84E+11,9,0,0,1,0
5.92E+11,9,0,0,1,0
6.39E+237,9,0,0,1,0
639007**232507-14  ,9,0,0,1,0
6.39E+11,9,0,0,1,0
ByteDance,9,1,0,0,0
CGV범계,9,1,0,0,0
CGV용산아이 ,9,1,0,0,0
D포토,9,1,0,0,0
GS25논산역점,9,1,0,0,0
GS25산본경원,9,1,0,0,0
GS25상주낙동,9,1,0,0,0
GS25수원시티,9,1,0,0,0
GS25안양진성,9,1,0,0,0
GS25안양행복,9,1,0,0,0
GS25일산동국,9,1,0,0,0
GS25평촌길목,9,1,0,0,0
GS25평촌타워,9,1,0,0,0
GS25평촌한솖,9,1,0,0,0
GS25평촌한솥,9,1,0,0,0
GS25평촌한양,9,1,0,0,0
GS25필동점,9,1,0,0,0
GS25해운제이,9,1,0,0,0
GS25호계뉴타,9,1,0,0,0
GS25호계점,9,1,0,0,0
KB국민카드_ ,9,0,0,1,0
KB스펙환불,9,0,0,1,0
KB증권LGCNS ,9,0,0,1,0
KB증권오픈,9,0,0,1,0
KB증권와이제,9,0,0,1,0
KB증권이건민,9,0,1,1,0
KB증권제일엔,9,0,0,1,0
KB증권제일엠,9,0,0,1,0
KB체크할인,9,0,0,1,0
KCP(결제대행,9,0,0,1,0
KFC안양호계,9,1,0,0,0
KOCES_자판기,9,0,0,0,0
KOCES결제대 ,9,0,0,0,0
KSNET대표H_1,9,0,0,0,0
KS넷(대표),9,0,0,0,0
LGCNS환불,9,0,0,1,0
lg씨엔에스매,9,0,0,1,0
LS매도,9,0,0,1,0
NETFLIX_INIC,9,0,0,0,0
NICE(빌링),9,0,0,1,0
NICE(빌링)_4,9,0,0,1,0
PCPRESSOPC방,9,1,0,0,0
PC테라스,9,1,0,0,0
PLAYPC(플레 ,9,1,0,0,0
SKPAY대표,9,0,0,0,0
STORMPC,9,1,0,0,0
WOWPC(와우피,9,1,0,0,0
WOWPC(와우피씨),9,1,0,0,0
가위사랑헤어,9,1,0,0,0
가향,9,1,0,0,0
감성스터디카,9,1,0,0,0
감탄,9,1,0,0,0
감탄생고기,9,1,0,0,0
강서,9,1,0,0,0
강신길,9,0,1,0,0
강호랭이분식,9,1,0,0,0
강호랭이분식평촌트,9,1,0,0,0
게임이너스PC,9,1,0,0,0
게임천국(GAM,9,1,0,0,0
경기지역화폐,9,0,0,0,0
고기주는냉면,9,1,0,0,0
고봉민김밥인,9,1,0,0,0
고스트캐슬PC,9,1,0,0,0
고피자평촌학,9,1,0,0,0
고피자평촌학원가점,9,1,0,0,0
골드볼링장,9,1,0,0,0
골뱅이를품은,9,1,0,0,0
공모주환불,9,0,0,1,0
공차동국대점,9,1,0,0,0
공차평촌학원,9,1,0,0,0
공차평촌학원가점,9,1,0,0,0
공태현,9,0,1,0,0
관양마트,9,1,0,0,0
교보문고,9,1,0,0,0
교촌치킨호계,9,1,0,0,0
교통비,9,1,0,0,0
구글플레이,9,0,0,0,0
국군복지단,9,1,0,0,0
국군재정단,9,0,0,0,0
국대떡볶이안,9,1,0,0,0
국빈,9,1,0,0,0
국수나무(   ,9,1,0,0,0
국수나무(평촌점),9,1,0,0,0
그레이스피씨,9,1,0,0,0
그린플래그커,9,1,0,0,0
긱스타피시카,9,1,0,0,0
김금복김밥,9,1,0,0,0
김도영,9,0,1,0,0
김민수,9,0,1,0,0
김밥나라구파,9,1,0,0,0
김밥천국,9,1,0,0,0
김어람,9,0,1,0,0
김원재,9,0,1,0,0
김하연,9,0,1,0,0
꼬르륵,9,1,0,0,0
꿈을향한공간,9,1,0,0,0
나쓰부,9,1,0,0,0
나우커피의왕,9,1,0,0,0
낙성대동네아,9,1,0,0,0
남경,9,1,0,0,0
남기분면,9,1,0,0,0
내통장결제,9,0,0,1,0
네이버파이낸,9,0,0,1,0
네이버페이,9,1,0,0,0
네이버페이_ ,9,1,0,0,0
네이버페이결,9,1,0,0,0
노랑통닭범계,9,1,0,0,0
노벨레테,9,1,0,0,0
노브랜드버거,9,1,0,0,0
노브랜드환불,9,1,0,0,0
놀PC방,9,1,0,0,0
놀섧(평촌 ,9,1,0,0,0
놀섧안양호계,9,1,0,0,0
놀피씨방,9,1,0,0,0
누리,9,0,0,0,0
누리헤어,9,1,0,0,0
다날_대표,9,1,0,0,0
다온앤북,9,1,0,0,0
다이브피씨방,9,1,0,0,0
달래해장수원,9,1,0,0,0
달링아이스크,9,1,0,0,0
대림각,9,1,0,0,0
대표_카카 ,9,0,0,0,0
더블루(범 ,9,1,0,0,0
더현대서울,9,1,0,0,0
던킨공항철도,9,1,0,0,0
데이롱카페안,9,1,0,0,0
데이롱카페평,9,1,0,0,0
데이롱카페평촌고,9,1,0,0,0
도누리오빠곱,9,1,0,0,0
동국대재무,9,0,0,0,0
동국대학교소,9,0,0,0,0
동국약국,9,1,0,0,0
동국할인점,9,1,0,0,0
동막골,9,1,0,0,0
동원건설산업,9,1,0,0,0
뒹글뒹글2,9,0,0,1,0
드림디포,9,1,0,0,0
드림디포범계,9,1,0,0,0
듣는커피,9,1,0,0,0
디디커피(D.D,9,1,0,0,0
디마인커피로,9,1,0,0,0
떡밥,9,1,0,0,0
떡순튀(평 ,9,1,0,0,0
떡슐랭1호 ,9,1,0,0,0
떡슐랭산본점,9,1,0,0,0
뚜레쥬르호계,9,1,0,0,0
라라약국,9,1,0,0,0
라온제나,9,1,0,0,0
라이또PC방,9,1,0,0,0
랜드에이엘,9,1,0,0,0
러쉬코리아가,9,1,0,0,0
레드쿨헤어,9,1,0,0,0
레벨업피씨방,9,1,0,0,0
로카모빌리티,9,1,0,0,0
로하이피씨방,9,1,0,0,0
롤앤밥스,9,1,0,0,0
롯데리아평촌,9,1,0,0,0
롯데물산주식,9,0,0,1,0
롯데백화점( ,9,1,0,0,0
롯데백화점평,9,1,0,0,0
롯데쇼핑(   ,9,1,0,0,0
롯데컬처웍스,9,1,0,0,0
롯데프리미엄,9,1,0,0,0
리그pc방범,9,1,0,0,0
리틀꼬마김밥,9,1,0,0,0
리틀꼬마김밥안양호,9,1,0,0,0
리플레이PC,9,1,0,0,0
마미절면,9,1,0,0,0
마스타해외승,9,0,0,0,0
마시쩡석수점,9,1,0,0,0
마음앤카페,9,1,0,0,0
마인드스터디,9,1,0,0,0
맘스터치,9,1,0,0,0
맘스터치(   ,9,1,0,0,0
맘스터치논산,9,1,0,0,0
맘스터치동국,9,1,0,0,0
맛동산분식,9,1,0,0,0
맛있는햄부대,9,1,0,0,0
매머드익스프,9,1,0,0,0
매운국물떡볶,9,1,0,0,0
매칭지원금,9,0,0,0,0
맥도날드안양,9,1,0,0,0
맥도날드여의,9,1,0,0,0
머리짓다,9,1,0,0,0
메가엠지씨커,9,1,0,0,0
메가엠지씨커피평촌,9,1,0,0,0
메가프로피씨,9,1,0,0,0
멜론PC방,9,1,0,0,0
명당만두,9,1,0,0,0
명동김밥,9,1,0,0,0
명륜진사갈비,9,1,0,0,0
모바일티머니,9,0,0,0,0
모빌-ARS,9,0,0,0,0
모아편의점,9,1,0,0,0
목련마트,9,1,0,0,0
못된고양이,9,1,0,0,0
무신사,9,1,0,0,0
무인양품(   ,9,1,0,0,0
미가김밥,9,1,0,0,0
미니스톱금왕,9,1,0,0,0
미니스톱논산,9,1,0,0,0
미니스톱범계,9,1,0,0,0
미니스톱석수,9,1,0,0,0
미니스톱안양,9,1,0,0,0
미니스톱평촌,9,1,0,0,0
미사리밀빛초,9,1,0,0,0
미소야산본로,9,1,0,0,0
민아생일축하,9,0,0,0,0
밀섧범계점,9,1,0,0,0
바나프레소범,9,1,0,0,0
바나프레소선,9,1,0,0,0
바나프레소충,9,1,0,0,0
바우네나주곰,9,1,0,0,0
박가부대찌개,9,1,0,0,0
박기범,9,0,1,0,0
박성빈,9,0,1,0,0
박윤서,9,0,1,0,0
박훈헤어샵,9,1,0,0,0
밥보야뚠뚠이,9,1,0,0,0
배니베니PC,9,1,0,0,0
백소정동국대,9,1,0,0,0
백순대본가새,9,1,0,0,0
백의원,9,1,0,0,0
밸리PC인덕,9,1,0,0,0
버거앤프라이,9,1,0,0,0
버거킹평촌학,9,1,0,0,0
범계역점빽다,9,1,0,0,0
병천순대,9,1,0,0,0
병천아우내순,9,1,0,0,0
보배반점(   ,9,1,0,0,0
보이스노래연,9,1,0,0,0
봉구스밥버거,9,1,0,0,0
부대의전설( ,9,1,0,0,0
붐바타안양평,9,1,0,0,0
브랑제리과자,9,1,0,0,0
브레드필유( ,9,1,0,0,0
블랙콩(호 ,9,1,0,0,0
블루문스터디,9,1,0,0,0
블루문스터디카페(,9,1,0,0,0
블루보틀커피,9,1,0,0,0
비허밍스터디,9,1,0,0,0
빽다방충무로,9,1,0,0,0
사천성,9,1,0,0,0
삼성이건민,9,0,1,1,0
삼성전자서비,9,1,0,0,0
삼중대광,9,1,0,0,0
상병11,9,0,0,0,0
상황근무증식,9,0,0,0,0
새봄온누리약,9,1,0,0,0
새빛,9,1,0,0,0
샐러디범계역,9,1,0,0,0
생일자특식,9,0,0,0,0
생일축하해  ,9,0,0,0,0
생일축하해건,9,0,0,0,0
샹떼PC방,9,1,0,0,0
샹떼PC방안,9,1,0,0,0
샹떼PC방평,9,1,0,0,0
서민우,9,0,1,0,0
서울베스트의,9,1,0,0,0
서울택시_   ,9,1,0,0,0
선경미용실,9,1,0,0,0
선물하기(   ,9,0,0,0,0
선미슈퍼,9,1,0,0,0
설빙,9,1,0,0,0
설빙(안양 ,9,1,0,0,0
설아아이스크,9,1,0,0,0
설아아이스크림,9,1,0,0,0
성민그린마트,9,1,0,0,0
성우환불,9,0,0,1,0
세븐일레븐경,9,1,0,0,0
세븐일레븐과,9,1,0,0,0
세븐일레븐논,9,1,0,0,0
세븐일레븐동,9,1,0,0,0
세븐일레븐범,9,1,0,0,0
세븐일레븐석,9,1,0,0,0
세븐일레븐안,9,1,0,0,0
세븐일레븐안양호계,9,1,0,0,0
세븐일레븐충,9,1,0,0,0
세븐일레븐평,9,1,0,0,0
세븐일레븐힐,9,1,0,0,0
세종시티약국,9,1,0,0,0
소민재,9,0,1,0,0
송복현,9,0,1,0,0
수원왕갈비,9,1,0,0,0
숨맑은집,9,1,0,0,0
숨맑은집평촌,9,1,0,0,0
숨맑은집학원,9,1,0,0,0
쉐프의부대찌,9,1,0,0,0
슈가당,9,1,0,0,0
슈퍼스타코인,9,1,0,0,0
스마일약국,9,1,0,0,0
스타벅스코리,9,1,0,0,0
스토리PC,9,1,0,0,0
스톰PC,9,1,0,0,0
스톰PC방,9,1,0,0,0
스팩매도,9,0,0,1,0
시애틀,9,1,0,0,0
시외버스모바,9,1,0,0,0
시원달콤24  ,9,1,0,0,0
신규환,9,0,1,0,0
신대풍감자탕,9,1,0,0,0
신북경국빈,9,1,0,0,0
신세계팩토리,9,1,0,0,0
신순미비타민,9,0,1,0,0
신영미,9,0,1,0,0
신영미ETF,9,0,1,1,0
신영미HVM   ,9,0,1,1,0
신영미LG씨,9,0,1,1,0
신영미LS매,9,0,1,1,0
신영미SK33  ,9,0,1,1,0
신영미공모주,9,0,1,1,0
신영미노브랜,9,0,1,1,0
신영미뉴로핏,9,0,1,1,0
신영미뉴엔에,9,0,1,1,0
신영미달바글,9,0,1,1,0
신영미대한조선,9,0,1,1,0
신영미더본환,9,0,1,1,0
신영미등록금,9,0,1,1,0
신영미디앤디,9,0,1,1,0
신영미미래6 ,9,0,1,1,0
신영미민테크,9,0,1,1,0
신영미바이오,9,0,1,1,0
신영미산일전,9,0,1,1,0
신영미스카비,9,0,1,1,0
신영미스펙환,9,0,1,1,0
신영미시프트,9,0,1,1,0
신영미신한13,9,0,1,1,0
신영미싸이닉매도,9,0,1,1,0
신영미쏘닉스,9,0,1,1,0
신영미씨어스,9,0,1,1,0
신영미아이엠,9,0,1,1,0
신영미에스오,9,0,1,1,0
신영미에이직,9,0,1,1,0
신영미용돈,9,0,1,1,0
신영미유라클,9,0,1,1,0
신영미이뮨나,9,0,1,1,0
신영미이뮨온,9,0,1,1,0
신영미제이엠,9,0,1,1,0
신영미제일엔,9,0,1,1,0
신영미주식,9,0,1,1,0
신영미주식2 ,9,0,1,1,0
신영미주식매,9,0,1,1,0
신영미청약환,9,0,1,1,0
신영미케이엔,9,0,1,1,0
신영미케이워,9,0,1,1,0
신영미코칩환,9,0,1,1,0
신영미쿠폰거래,9,0,1,1,0
신영미클로봇,9,0,1,1,0
신영미클리반,9,0,1,1,0
신영미키움이,9,0,1,1,0
신영미프로티나,9,0,1,1,0
신영미하이젠,9,0,1,1,0
신영미한텍,9,0,1,1,0
신영미환불금,9,0,1,1,0
신재원,9,0,1,0,0
신정민,9,0,1,0,0
신포우리만두,9,1,0,0,0
신풍부대찌개,9,1,0,0,0
써브웨이범계,9,1,0,0,0
쏘닉스,9,0,0,1,0
쓰리팝피씨카,9,1,0,0,0
씨유(CU)M   ,9,1,0,0,0
씨유(CU)광,9,1,0,0,0
씨유(CU)대,9,1,0,0,0
씨유(CU)동,9,1,0,0,0
씨유(CU)목,9,1,0,0,0
씨유(CU)목련꽃길점,9,1,0,0,0
씨유(CU)무,9,1,0,0,0
씨유(CU)범,9,1,0,0,0
씨유(CU)부,9,1,0,0,0
씨유(CU)안,9,1,0,0,0
씨유(CU)일,9,1,0,0,0
씨유(CU)평,9,1,0,0,0
씨유(CU)평촌트리지,9,1,0,0,0
